# Derived from JMdict common-only data (2026-08-31) via scriptin/jmdict-simplified.
# Original data © EDRDG under the EDRDG Dictionary License; distribution terms: CC BY-SA 4.0.
# See docs/katakana-english-dictionary-notice.md.
コンチネンタル	continental
コンテ	storyboard
コンテスト	contest
コンテナ	skip
コンディション	condition
コンデンサ	capacitor
コンデンサ	condenser
コント	conte
コント	short story
コント	tale
コントラ	contra
コントラスト	contrast
コントラバス	contrabass
コントラバス	double bass
コントラバス	bass
コントローラー	controller
コントロール	control
コンドーム	condom
コンドミニアム	condominium
コンバーター	converter
コンバイン	combine
コンバイン	combine harvester
コンパ	party
コンパ	social event
コンパ	get-together
コンパクト	portable powder case
コンパクト	compact car
コンパス	pair of compasses
コンパニオン	booth babe
コンパニオン	companion
コンビ	combination
コンビ	pair
コンビ	duo
コンビナート	industrial complex
コンビニ	convenience store
コンビニエンス	convenience
コンビネーション	combination
コンピュータ	computer
コンピューター	computer
コンフィギュレーション	configuration
コンプレックス	complex
コンプレックス	inferiority complex
コンプレッサー	compressor
コンベンション	convention
コンベンションセンター	convention center
コンベンションセンター	convention centre
コンペ	competition
コンペティション	competition
コンボイ	convoy
コンポ	component
コンポ	component stereo
コンポスト	compost
ゴーカート	go-kart
ゴーカート	go-cart
ゴーグル	goggles
ゴーサイン	green light
ゴースト	ghost
ゴースト	ghosting
ゴースト	ghost flare
ゴーストタウン	ghost town
ゴール	finish line
ゴール	finishing line
ゴール	winning post
ゴールイン	reaching the winning post
ゴールイン	reaching the finish
ゴールイン	making the goal
ゴールキーパー	goalkeeper
ゴールデンアワー	prime time television
ゴールデンタイム	peak time
ゴールド	gold
ゴールライン	goal line
ゴキブリ	cockroach
ゴシック	gothic
ゴシップ	gossip
ゴッドファーザー	godfather
ゴム	gum
ゴム	rubber
ゴム	eraser
ゴルジュ	gorge
ゴルジュ	canyon
ゴルフ	golf
ゴルファー	golfer
ゴンドラ	basket
サーカス	circus
サーキット	race track
サークル	circle
サーチ	search
サーチライト	searchlight
サード	third
サード	third base
サード	third baseman
サーバー	server
サーバ	server
サービス	service
サービス	help
サービス	assistance
サービスエリア	service area
サービスエリア	toll road rest stop
